2599,ALFA ROMEO 159,2013,1,0,0,1,0,0,62705, 5800000 ,24/03/2020,alfa romeo
2854,ALFA ROMEO GIULIETTA,2015,1,0,0,1,0,0,60621,8700000,18/03/2020,alfa romeo
2367,AUDI A1,2017,1,0,0,1,0,0,36341,10900000,30/03/2020,audi
694,AUDI A3,2018,1,0,0,1,0,0,23589,17490000,07/06/2020,audi
696,AUDI A3,2019,1,0,0,1,0,0,2950,20490000,07/06/2020,audi
708,AUDI A3,2017,1,0,0,1,0,0,15000,14990000,06/06/2020,audi
838,AUDI A3,2020,1,0,0,1,0,0,10000,17790000,28/05/2020,audi
842,AUDI A3,2018,1,0,0,1,0,0,10200,17990000,28/05/2020,audi
1123,AUDI A3,2014,1,0,0,1,0,0,68100,8980000,14/05/2020,audi
1458,AUDI A3,2018,1,0,0,1,0,0,31000,14490000,05/05/2020,audi
1468,AUDI A3,2018,1,0,0,1,0,0,17800,15990000,05/05/2020,audi
1695,AUDI A3,2017,0,1,0,1,0,0,47000,10800000,27/04/2020,audi
1697,AUDI A3,2017,0,1,0,1,0,0,47000,10800000,27/04/2020,audi
1723,AUDI A3,2017,1,0,0,0,1,0,49000,15990000,26/04/2020,audi
2346,AUDI A3,2018,1,0,0,1,0,0,41000,13990000,31/03/2020,audi
2349,AUDI A3,2020,1,0,0,1,0,0,2600,18990000,31/03/2020,audi
2552,AUDI A3,2019,1,0,0,1,0,0,8100,17990000,24/03/2020,audi
2555,AUDI A3,2019,1,0,0,1,0,0,9200,17990000,24/03/2020,audi
2557,AUDI A3,2019,1,0,0,1,0,0,6600,17990000,24/03/2020,audi
2558,AUDI A3,2019,1,0,0,1,0,0,13700,16990000,24/03/2020,audi
2560,AUDI A3,2019,1,0,0,1,0,0,8500,17990000,24/03/2020,audi
2563,AUDI A3,2019,1,0,0,1,0,0,19900,18990000,24/03/2020,audi
2751,AUDI A3,2016,1,0,0,1,0,0,43645,10450000,19/03/2020,audi
2875,AUDI A3,2017,1,0,0,1,0,0,39000,15900000,18/03/2020,audi
790,AUDI A4,2018,1,0,0,1,0,0,41000,15990000,02/06/2020,audi
1428,AUDI A4,2016,1,0,0,1,0,0,35000,11490000,06/05/2020,audi
1541,AUDI A4,2014,1,0,0,1,0,0,66900,10690000,02/05/2020,audi
3227,AUDI A4,2019,1,0,0,1,0,0,23600,16990000,10/03/2020,audi
843,AUDI A5,2020,1,0,0,1,0,0,3800,36990000,28/05/2020,audi
1090,AUDI A5,2017,1,0,0,1,0,0,48000,16490000,15/05/2020,audi
1873,AUDI A5,2015,1,0,0,1,0,0,36249,17990000,23/04/2020,audi
2559,AUDI A5,2020,1,0,0,1,0,0,6695,34990000,24/03/2020,audi
2969,AUDI A5,2018,1,0,0,1,0,0,30300,23990000,17/03/2020,audi
2982,AUDI A5,2013,1,0,0,1,0,0,90000,14990000,17/03/2020,audi
119,AUDI A6,2017,1,0,0,1,0,0,60900,16490000,30/06/2020,audi
709,AUDI A6,2016,1,0,0,1,0,0,40877,12990000,06/06/2020,audi
1747,AUDI A6,2018,1,0,0,1,0,0,21848,19500000,24/04/2020,audi
2046,AUDI A6,2019,1,0,0,1,0,0,12579,20900000,16/04/2020,audi
2561,AUDI Q2,2019,1,0,0,1,0,0,6400,17990000,24/03/2020,audi
2562,AUDI Q2,2019,1,0,0,1,0,0,5097,17990000,24/03/2020,audi
112,AUDI Q3,2018,1,0,0,1,0,0,36800,22490000,30/06/2020,audi
113,AUDI Q3,2020,1,0,0,1,0,0,10410,22990000,30/06/2020,audi
115,AUDI Q3,2018,1,0,0,1,0,0,15000,17990000,30/06/2020,audi
174,AUDI Q3,2014,1,0,0,1,0,0,130000,10490000,26/06/2020,audi
710,AUDI Q3,2019,1,0,0,1,0,0,13699,22990000,06/06/2020,audi
1339,AUDI Q3,2016,1,0,0,0,1,0,65000,16990000,09/05/2020,audi
1722,AUDI Q3,2016,1,0,0,1,0,0,43800,13990000,26/04/2020,audi
188,AUDI Q5,2019,1,0,0,1,0,0,8200,28990000,25/06/2020,audi
234,AUDI Q5,2015,1,0,0,0,1,0,140000,14500000,24/06/2020,audi
369,AUDI Q5,2012,1,0,0,0,1,0,160000,11990000,19/06/2020,audi
801,AUDI Q5,2014,0,0,1,0,1,0,134000,14990000,01/06/2020,audi
1277,AUDI Q5,2012,1,0,0,1,0,0,87520,11990000,12/05/2020,audi
1613,AUDI Q5,2016,1,0,0,1,0,0,68000,18990000,29/04/2020,audi
1872,AUDI Q5,2010,1,0,0,0,1,0,156000,10990000,23/04/2020,audi
2877,AUDI Q5,2015,1,0,0,1,0,0,76312,21900000,18/03/2020,audi
275,AUDI Q7,2017,1,0,0,0,1,0,48432,31500000,24/06/2020,audi
695,AUDI Q7,2018,1,0,0,0,1,0,33399,34990000,07/06/2020,audi
1488,AUDI Q7,2011,1,0,0,1,0,0,150000,14690000,05/05/2020,audi
2128,AUDI Q7,2016,1,0,0,1,0,0,82736,24890000,13/04/2020,audi
2970,AUDI Q7,2018,1,0,0,1,0,0,16600,35990000,17/03/2020,audi
2973,AUDI Q7,2018,1,0,0,1,0,0,45700,32890000,17/03/2020,audi
153,AUDI RS5,2012,1,0,0,1,0,0,58000,19900000,26/06/2020,audi
1508,AUDI RS5,2011,1,0,0,1,0,0,73976,19999999,05/05/2020,audi
286,AUDI S1,2018,0,1,0,1,0,0,44400,17490000,23/06/2020,audi
2981,AUDI S3,2016,1,0,0,1,0,0,56000,20990000,17/03/2020,audi
1517,AUDI S5,2018,1,0,0,1,0,0,15000,34990000,04/05/2020,audi
2389,AUDI S5,2017,0,0,1,1,0,0,55000,28990000,30/03/2020,audi
2540,AUDI SQ5,2019,1,0,0,1,0,0,13154,39990000,24/03/2020,audi
82,BAIC X25,2019,0,1,0,1,0,0,5600,5990000,01/07/2020,baic
254,BAIC X25,2019,0,1,0,1,0,0,8900,6280000,24/06/2020,baic
436,BAIC X25,2017,0,1,0,1,0,0,62300,4890000,18/06/2020,baic
1000,BAIC X25,2018,0,1,0,1,0,0,11230,5980000,18/05/2020,baic
1001,BAIC X25,2018,0,1,0,1,0,0,13000,5780000,18/05/2020,baic
1129,BAIC X25,2018,0,1,0,1,0,0,35200,5290000,14/05/2020,baic
1485,BAIC X25,2017,0,1,0,1,0,0,32700,5380000,05/05/2020,baic
